id,price,year,manufacturer,model,condition,odometer,title_status,vin,type,lat,long
905,158,68,19,2151,3,7832,0,2,1,630,435
903,362,78,12,3596,4,6583,0,795,10,536,448
757,262,68,7,3573,3,8524,0,2450,1,544,439
720,996,79,24,2575,1,1315,0,2,3,630,435
416,1230,67,7,3284,0,8298,0,2,0,1314,1049
341,1530,72,12,1853,0,4779,1,2,0,552,331
311,320,63,12,1286,0,4779,0,2,10,382,459
23,1965,79,12,1745,0,6502,0,2,0,1316,1044
22,1545,70,12,1745,0,6001,0,2,0,1319,1042
21,149,58,12,1711,0,4779,0,2,0,459,468
0,949,70,37,3532,3,7928,0,5708,11,801,409
17397,337,66,24,2572,3,5795,0,6359,3,231,1746
17346,153,72,15,1122,0,4779,0,2,0,326,1826
17345,362,63,30,2007,1,4607,0,2,8,484,1567
17129,996,71,37,3567,3,7406,0,5717,11,610,1533
17336,220,73,12,1766,3,4779,0,2,11,150,1574
17333,456,77,38,2187,3,5878,1,2,5,565,1534
17322,1746,71,7,3345,0,6812,0,2,0,1267,1237
17315,581,66,0,2296,3,4779,0,2,11,140,1602
17293,1403,78,22,3043,1,3709,1,4032,1,349,1670
17271,182,72,29,3834,1,7809,0,4650,5,318,1718
17270,190,72,16,3391,1,7945,0,5598,10,318,1718
17269,332,71,15,733,1,7945,0,4574,10,318,1718
17268,216,71,12,1657,1,7598,0,1124,1,318,1718
17266,292,71,12,1497,1,6529,0,3573,1,318,1718
17265,182,70,38,2299,1,7573,0,4821,10,318,1718
17260,509,79,29,3841,4,4552,0,2,10,175,1691
17252,255,69,13,3201,0,5002,0,2606,9,341,1706
17250,263,66,25,869,1,4607,0,7996,10,360,1799
17245,255,68,29,3989,0,7664,0,5515,13,341,1706
17243,329,70,15,2694,0,7270,0,5206,6,341,1706
17242,134,63,0,110,1,8237,0,2,10,317,1566
17232,539,77,38,2305,1,2791,0,2,10,377,1740
17227,1180,35,0,422,1,2216,0,2,3,288,1758
17226,158,71,7,2508,4,6429,0,2,10,163,1449
17225,739,81,37,1231,3,3940,0,2,10,338,1802
17116,85,68,1,3750,2,4779,0,2,10,430,1584
17221,1608,76,19,3897,1,4017,1,2,1,175,1691
17219,104,65,0,619,0,5036,0,2,0,679,1558
17215,1545,78,19,3897,0,4779,0,2,1,575,1569
17205,583,76,37,2957,1,4779,0,2,1,234,1585
17165,1116,72,6,1589,0,6431,0,2673,1,238,1605
17162,149,36,7,954,0,4779,0,2,0,394,1714
17095,1302,76,7,1685,1,1457,0,2040,12,565,1534
17093,1302,79,7,1685,1,3530,0,2032,12,565,1534
17091,1302,76,7,1685,1,2275,0,3284,12,558,1530
17090,391,79,7,1300,1,4779,0,2,10,173,1804
17089,1177,76,7,1685,1,3351,0,3283,12,558,1530
16911,177,70,26,2171,1,8161,0,4078,10,231,1746
17088,966,73,7,1682,1,3469,0,2022,12,565,1534
17086,2010,80,7,3345,1,6854,1,2,0,97,1772
17084,1294,79,7,1685,1,3898,0,2031,12,565,1534
17083,1039,72,12,1492,1,2738,0,857,12,558,1530
17082,663,76,20,3421,1,4397,0,5980,1,558,1530
16986,834,68,12,1766,4,4779,0,2,11,231,1746
16893,629,77,39,3091,1,3879,0,7894,10,386,1684
17080,802,76,29,2532,1,4693,0,3009,10,558,1530
17077,834,57,24,3049,2,4251,0,6353,4,467,1626
17040,2232,81,16,3125,1,3001,0,2,1,316,1653
17038,337,75,29,3011,3,6874,0,6479,0,209,1636
17007,216,70,0,3149,0,7180,0,2,5,302,1725
16999,1071,70,7,3328,1,4779,0,2,11,317,1566
16998,238,64,37,351,3,4779,0,2,0,593,1521
16991,342,66,37,3551,3,8207,0,5722,9,196,1732
16984,456,73,15,733,1,6696,0,2,10,236,1780
16983,232,71,15,2831,3,7983,0,2,1,540,1572
16982,337,71,37,1025,1,7410,0,2,10,236,1780
16981,581,71,37,2213,1,7334,0,2,1,236,1780
16978,337,71,37,1011,1,6951,0,2,10,236,1780
16973,198,69,19,2424,0,7084,0,2,1,306,1724
16962,152,69,0,3106,0,7945,0,2,10,322,1733
16957,1727,80,32,17,0,6154,0,569,9,680,1348
16944,182,70,5,2377,0,7112,0,2,10,309,1727
16921,740,23,0,505,1,4779,0,2,10,173,1804
16917,76,62,34,3527,3,8569,0,2,13,285,1778
16796,814,76,15,2697,1,5567,0,5245,6,386,1684
16887,249,68,7,3286,3,8090,0,3292,9,288,1758
16886,629,80,38,2314,1,3300,0,4776,10,386,1684
16885,1144,73,35,2267,1,5416,0,6116,5,386,1684
16884,313,72,12,1601,0,4779,0,2,0,175,1691
16875,629,71,29,1704,1,3576,0,5446,1,386,1684
16869,674,70,29,808,1,4028,0,5428,1,386,1684
16867,517,76,27,1226,1,3876,0,7774,4,386,1684
16861,424,75,27,1226,1,4341,0,7764,5,386,1684
16857,1253,75,22,2473,1,3779,0,6766,10,386,1684
16812,649,78,16,3392,1,2735,0,5585,10,394,1714
16795,220,71,37,2862,0,7753,0,2,5,321,1728
16794,539,72,15,737,1,4762,0,2777,4,386,1684
16791,589,75,15,737,1,5699,0,2782,4,386,1684
16790,727,76,15,1270,1,4109,0,5352,1,394,1714
16782,710,68,12,1833,1,4067,0,1652,11,386,1684
16781,823,73,17,2492,1,4537,0,6542,0,1570,349
16775,216,69,39,3079,0,6892,0,2,10,293,1723
16774,600,78,12,1601,1,4374,0,1086,1,386,1684
16767,877,78,4,370,1,4020,0,7546,10,386,1684
16751,0,77,12,0,3,4779,0,2,1,288,1758
16750,517,71,4,289,1,5785,0,7538,4,386,1684
16742,334,70,4,394,1,7570,0,7474,10,263,1663
16739,217,69,12,2023,1,7686,0,1199,1,263,1663
16737,312,70,37,3196,1,8286,0,5679,6,263,1663
16735,260,68,12,1628,1,6382,0,1197,1,263,1663
16733,217,65,12,1640,1,7775,0,1189,1,263,1663
16731,260,73,7,1177,1,6636,0,1825,4,263,1663
16700,149,67,7,3489,2,4779,0,2,1,335,1649
16693,149,73,24,367,3,4277,0,6344,0,490,1560
16692,968,72,4,3932,4,4499,0,5843,1,404,1646
16664,645,68,12,1869,3,8407,0,2,9,178,1525
16649,292,68,9,1381,1,8119,0,2,9,178,1525
16648,490,65,29,2532,4,70,0,2,10,472,1590
16641,927,71,12,1866,1,8499,0,2,9,177,1526
16637,591,72,7,836,1,8021,0,2,1,179,1527
16627,887,75,7,1005,1,4984,0,2,4,179,1527
16625,247,72,0,3112,0,4779,0,2,0,540,1572
16612,158,75,12,1657,3,4779,0,2,1,422,1511
16609,452,68,7,3311,1,8309,0,2,9,176,1526
16604,649,81,7,1291,1,2863,0,2,0,304,1810
16601,279,66,7,3497,1,7876,0,2,1,176,1527
16595,614,70,12,1711,4,4779,0,2,11,231,1746
16586,134,64,12,2937,0,4779,0,2,0,426,1588
16574,740,72,6,1589,4,4779,0,2,1,231,1746
16557,1750,82,15,2842,4,801,0,2,1,228,1824
16542,764,78,25,881,1,4910,0,2,10,304,1810
16534,456,77,7,1568,4,4779,0,2,1,231,1746
16530,1177,68,0,509,0,5676,0,5330,1,238,1605
16382,802,72,0,611,0,4750,0,7799,1,586,1561
16522,185,71,16,1519,4,4779,0,2,10,231,1746
16521,614,80,38,2314,1,3280,0,2,10,304,1810
16505,789,70,15,2990,1,5141,0,3868,9,320,1738
16504,614,75,15,2694,1,6386,0,5224,6,320,1738
16503,108,69,16,728,3,7847,0,7878,4,472,1590
16502,149,67,23,2465,1,5306,0,7878,10,472,1590
16501,892,71,7,3286,1,3543,0,2151,0,400,1689
16326,174,71,37,2857,4,93,0,2,5,398,1765
16495,539,67,7,3329,0,8555,0,2,0,467,1626
16492,473,76,20,3421,1,5342,0,2,1,304,1810
16487,263,72,9,2501,1,5713,0,2,0,326,1826
16486,918,78,15,1262,1,5186,0,5377,1,248,1794
16484,706,81,19,1202,1,3752,0,2,1,304,1810
16472,329,70,15,733,0,8049,0,2732,10,341,1706
16464,151,72,20,3443,1,4779,0,2,10,467,1626
16324,567,71,19,3897,4,88,0,2,1,393,1774
16315,456,71,7,1685,1,4779,0,2,0,175,1691
16457,966,72,37,3764,0,7482,0,5611,9,238,1605
16438,375,66,12,2945,1,5665,0,1784,11,204,1757
16436,337,53,7,1036,3,4779,0,2,10,442,1576
16432,201,71,38,2768,3,6196,0,2,10,374,1793
16402,79,75,37,0,1,4779,0,2,10,261,1616
16391,362,65,4,281,1,5902,0,2,10,173,1804
16389,1769,76,9,1061,0,216,0,3344,0,229,1692
16388,1215,82,9,2143,0,2676,0,3501,0,229,1692
16387,721,79,9,1382,0,5273,0,136,0,229,1692
16386,1786,81,7,3286,0,4506,0,4429,0,229,1692
16385,1300,81,13,3607,0,4507,0,3741,0,229,1692
16384,884,78,13,3607,0,3229,0,3734,0,229,1692
16381,220,79,0,651,0,108,0,6545,0,586,1561
16380,1427,81,25,942,0,2760,0,5176,10,586,1561
16377,188,69,25,877,0,4779,0,2,0,590,332
16376,194,70,20,3159,0,4779,0,2,0,175,1691
16369,1116,76,12,1711,0,6361,0,1485,9,238,1605
16362,220,70,15,733,4,7859,0,2,10,326,1826
16338,224,69,37,1011,0,7180,0,2,0,175,1691
16336,644,71,32,0,0,4779,0,2,0,305,1809
16333,984,71,37,3532,0,4779,0,2,0,307,1807
16332,2,70,12,1711,0,4779,4,2,0,318,1718
16331,1453,78,12,1801,0,4779,0,2,0,305,1809
16329,660,75,19,2151,0,4779,0,2,0,308,1808
16327,153,70,0,517,4,45,0,2,1,401,1769
16325,992,71,7,3573,0,4779,0,2,0,307,1808
15642,504,72,19,2803,1,4236,0,2957,1,391,1694
16323,1092,75,37,3532,0,4779,0,2,0,307,1807
16322,949,75,37,3764,1,78,0,2,9,396,1775
16318,2,73,4,399,1,4779,0,2,0,359,1690
15640,663,72,1,2555,1,5846,0,3919,1,391,1694
16285,276,67,7,3501,3,4779,0,2,1,357,1761
16283,411,49,19,1092,0,4779,0,2,0,173,1804
16280,778,70,8,240,1,8005,0,2,10,317,1566
16278,2052,83,25,2119,1,421,0,7640,0,630,435
16257,238,78,0,148,3,4779,0,2,4,575,1569
16245,80,57,7,2828,2,3512,0,2138,11,268,1625
16233,424,71,15,2831,0,4779,0,2,0,285,1665
16154,2010,81,19,3897,1,674,0,2,8,285,1778
16125,1846,82,25,963,1,1051,0,7740,0,630,435
16101,508,69,23,3682,1,2276,0,2,10,472,1590
16099,1230,82,16,3125,1,2227,1,2,1,287,1499
16082,104,70,7,2205,0,4779,0,2,0,91,1658
16007,97,71,8,2762,3,7112,0,2,0,326,1826
15996,411,72,12,1502,3,4398,0,3553,1,330,1609
15986,1943,84,25,2113,1,169,0,7664,0,630,435
15985,134,69,12,3587,3,6386,0,2,10,653,1499
15976,379,70,15,2694,0,5321,0,5200,8,285,1778
15975,993,79,15,1122,0,4517,0,3833,10,285,1778
15974,344,75,15,1122,0,6336,0,66,10,285,1778
15973,452,73,15,733,0,6613,0,2747,10,285,1778
15972,332,69,15,2694,0,6674,0,5205,8,285,1778
15960,329,71,35,2722,0,5986,0,4960,13,341,1706
15951,403,76,29,3013,1,6528,0,6474,1,301,1812
15941,116,61,37,1014,3,7957,0,2,0,1018,1399
15797,413,70,12,2937,3,6028,0,2,9,156,1660
15930,1707,80,12,1745,0,6233,0,1264,9,238,1605
15920,329,71,15,733,0,7449,0,2726,10,341,1706
15919,892,82,37,1014,4,4779,0,2,10,231,1746
15918,647,79,8,3677,0,4779,0,2,0,359,1690
15914,724,82,38,2299,0,4779,0,2,0,359,1690
15911,182,64,1,3651,3,4779,0,2,0,239,1707
15906,696,78,29,2532,0,4779,0,2,0,318,1718
15902,1490,72,32,296,3,4779,0,2,9,811,1478
15899,220,63,4,4039,0,6936,0,2,4,231,1746
15894,329,71,15,733,0,7449,0,2726,10,341,1706
15892,208,65,12,1640,3,7258,0,2,1,271,1522
15891,581,78,37,1014,4,6015,0,2,10,231,1746
15889,247,72,0,3112,0,4779,0,2,0,540,1572
15887,149,64,7,3488,3,97,0,2,0,467,1626
15883,577,76,4,12,0,4235,0,7509,4,238,1605
15792,1222,81,19,2985,1,465,0,7956,1,146,1695
15790,403,72,38,2929,0,4665,0,7839,8,276,1816
15770,269,69,15,2832,3,7859,0,2,1,317,1566
15882,255,67,28,1482,0,7828,0,4840,5,341,1706
15880,1366,75,37,3534,0,4552,0,2,0,285,1778
15879,1638,36,4,126,4,7537,0,3322,4,410,1676
15873,362,73,15,733,3,8284,0,2784,4,129,1686
15871,135,62,15,733,1,8401,0,2,10,243,1713
15864,1302,84,0,472,0,100,0,7974,8,238,1605
15858,663,72,4,266,0,4368,0,7536,4,238,1605
15854,179,70,37,1231,0,4779,0,3946,10,341,1706
15851,270,70,12,1640,1,8024,0,2,1,243,1713
15850,108,71,9,1040,3,7742,0,2,12,440,1617
15840,456,72,4,3922,1,4779,0,2,1,272,1630
15834,210,65,37,1011,0,7853,0,5094,10,341,1706
15801,403,71,29,3989,0,7342,0,5443,13,341,1706
15281,1366,79,35,2265,1,4779,1,2,5,599,1547
15761,255,71,8,2762,0,4779,0,3333,5,341,1706
15753,186,69,15,2697,3,8553,0,5210,6,668,1509
15738,174,75,16,1520,3,8064,0,6973,13,1307,1268
15737,362,71,15,1150,3,4779,0,2,0,239,1707
15728,179,67,19,2424,0,6964,0,2922,1,341,1706
15727,126,69,16,728,3,7847,0,7878,4,472,1590
15720,165,61,7,17,3,8134,0,2,11,523,1546
15686,996,78,9,1076,1,2788,0,3383,10,264,1734
15680,238,71,29,2789,1,8369,0,2,0,288,1758
15233,1302,80,29,2789,0,3136,0,5473,1,586,1561
15672,149,68,16,3115,1,7047,0,2,1,266,1717
15665,1364,70,12,1882,0,4779,0,2,0,385,1685
15658,210,70,12,1601,0,6997,0,1017,1,341,1706
15655,165,67,23,2465,1,5306,0,7878,10,472,1590
15656,577,72,37,1011,1,5221,0,7220,10,391,1694
15653,577,77,29,775,1,4186,0,3096,10,391,1694
15652,535,71,22,1582,1,5090,0,7221,10,391,1694
15651,663,75,22,2285,1,5397,0,7222,10,391,1694
15649,97,35,7,954,2,171,0,2,11,394,1714
15648,736,76,29,2532,1,4326,0,3008,10,391,1694
15646,802,77,15,733,1,4003,0,2755,10,391,1694
15645,504,78,12,1964,1,4447,0,732,10,391,1694
15643,1421,76,19,3897,1,6596,0,2939,0,1570,349
14344,1089,82,29,2689,0,2713,0,4693,0,586,1561
15638,362,71,34,2759,3,6290,0,5342,6,319,1736
15632,140,75,29,778,3,8469,0,3027,10,1307,1268
15630,1162,67,12,1745,0,7492,0,2,0,1315,1044
