lat,long
40.7372,-111.858
40.5881,-111.884
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
40.3744,-104.694
19.7452,-155.901
39.9542,-111.715
33.4583,-111.926
40.7499,-111.926
33.4583,-111.926
33.4583,-111.926
40.7476,-111.939
33.4583,-111.926
40.7009,-112.081
31.9045,-110.214
33.4583,-111.926
33.4583,-111.926
33.4583,-111.926
33.4583,-111.926
39.6405,-104.961
39.6405,-104.961
39.6405,-104.961
39.6405,-104.961
45.1637,-113.894
39.6405,-104.961
39.6405,-104.961
39.6405,-104.961
37.1756,-113.608
40.5881,-111.884
33.4564,-112.128
40.3179,-111.704
33.4583,-111.926
40.7477,-111.939
33.4583,-111.926
38.615,-121.272
38.615,-121.272
38.615,-121.272
33.4583,-111.926
48.4326,-122.338
41.2627,-111.984
40.1625,-111.599
33.4583,-111.926
45.1637,-113.894
40.6916,-112.001
38.615,-121.272
38.615,-121.272
37.1756,-113.608
33.4583,-111.926
40.7477,-111.939
40.9036,-117.794
33.4583,-111.926
39.3019,-104.818
39.6405,-104.961
39.6405,-104.961
39.7039,-105.044
39.6405,-104.961
39.7039,-105.044
39.6405,-104.961
39.6405,-104.961
39.6405,-104.961
39.7039,-105.044
39.6405,-104.961
38.615,-121.272
33.4583,-111.926
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
33.4583,-111.926
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.6405,-104.961
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
39.7039,-105.044
40.5881,-111.884
37.179,-113.707
39.7039,-105.044
47.7188,-122.197
40.6557,-111.886
33.4583,-111.926
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
38.615,-121.272
40.7475,-111.939
33.4583,-111.926
40.7475,-111.939
33.4583,-111.926
45.1637,-113.894
33.4583,-111.926
43.708,-116.751
33.4583,-111.926
44.355,-106.68
44.355,-106.68
44.355,-106.68
44.355,-106.68
44.355,-106.68
39.6405,-104.961
39.6405,-104.961
38.6578,-112.126
37.0831,-113.558
37.1756,-113.608
37.6775,-113.062
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1282,-113.676
36.1302,-115.275
37.0816,-113.585
37.0816,-113.585
37.0816,-113.585
37.0816,-113.585
37.1756,-113.608
37.6775,-113.062
37.1756,-113.608
36.152,-115.109
37.1756,-113.608
36.152,-115.109
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
40.7548,-111.881
37.0979,-113.233
37.0831,-113.558
37.1364,-113.505
37.6775,-113.062
37.0831,-113.558
37.0831,-113.558
37.1364,-113.505
37.0831,-113.558
37.179,-113.707
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.179,-113.707
36.2783,-115.02
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
37.1756,-113.608
34.0794,-117.455
37.1254,-113.623
37.1255,-113.624
37.1364,-113.505
37.1756,-113.608
37.1756,-113.608
37.0831,-113.558
37.1756,-113.608
37.0831,-113.558
37.1756,-113.608
37.0304,-113.613
37.455,-113.268
40.7548,-111.881
37.1756,-113.608
37.179,-113.707
37.0979,-113.233
37.1756,-113.608
